TeamID,[Key],Active,City,Name,StadiumID,League,Division,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl
1,LAD,True,Los Angeles,Dodgers,31,NL,West,005A9C,FFFFFF,,,https://upload.wikimedia.org/wikipedia/en/2/20/Los_Angeles_Dodgers_Logo.png,https://upload.wikimedia.org/wikipedia/commons/f/f6/LA_Dodgers.svg
2,CIN,True,Cincinnati,Reds,64,NL,Central,C6011F,0,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/0/01/Cincinnati_Reds_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/71/Cincinnati_Reds_Cap_Insignia.svg
3,TOR,True,Toronto,Blue Jays,42,AL,East,134A8E,1D2D5C,E82A1E,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/ba/Toronto_Blue_Jays_logo.svg,https://upload.wikimedia.org/wikipedia/en/1/11/TorontoBlueJays2012cap.png
4,PIT,True,Pittsburgh,Pirates,29,NL,Central,0,FDB827,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Pittsburgh_Pirates_logo_2014.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/Pittsburgh_Pirates_Cap_Insignia.svg
5,KC,True,Kansas City,Royals,33,AL,Central,4687,7AB2DD,C09A5B,FFFFFF,https://upload.wikimedia.org/wikipedia/en/1/1c/Kansas_City_Royals.svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Kansas_City_Royals_Insignia.svg
6,RETIRED,False,,Retired,,,,,,,,,
7,NL,False,National League,All Stars,,NL,NL,,,,,,
8,NOTEAM,False,,Unknown Team,12,,,,,,,,
9,CHC,True,Chicago,Cubs,27,NL,Central,0,CC3433,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chicago_Cubs_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Chicago_Cubs_Cap_Insignia.svg
10,CLE,True,Cleveland,Indians,10,AL,Central,002B5C,E31937,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Indians_Logo_-_2014_Season.svg,https://upload.wikimedia.org/wikipedia/en/0/0d/Cleveland_Indians_cap_logo.svg
11,TB,True,Tampa Bay,Rays,18,AL,East,092C5C,8FBCE6,FFFFFF,F5D130,https://upload.wikimedia.org/wikipedia/en/c/c6/Tampa_Bay_Rays.svg,https://upload.wikimedia.org/wikipedia/commons/e/e2/ALE-TB-Insignia.png
12,PHI,True,Philadelphia,Phillies,51,NL,East,E81828,FFFFFF,284898,,https://upload.wikimedia.org/wikipedia/en/8/84/Philadelphia_Phillies.svg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Philadelphia_Phillies_Insignia.svg
13,SEA,True,Seattle,Mariners,65,AL,West,002B5C,006C67,C4CED4,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b0/Seattle_Mariners_logo.svg,https://upload.wikimedia.org/wikipedia/en/8/8a/Seattle_Mariners_Insignia.svg
14,ARI,True,Arizona,Diamondbacks,54,NL,West,A71930,E3D4AD,0,30D3D8,https://upload.wikimedia.org/wikipedia/en/8/89/Arizona_Diamondbacks_logo.svg,https://upload.wikimedia.org/wikipedia/en/c/ce/DbacksCapLogo.png
15,SF,True,San Francisco,Giants,13,NL,West,0,FD5A1E,E6D8AF,,https://upload.wikimedia.org/wikipedia/en/5/58/San_Francisco_Giants_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/San_Francisco_Giants_Cap_Insignia.svg
16,CHW,True,Chicago,White Sox,25,AL,Central,0,CCCCCC,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Chicago_White_Sox.svg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Chicago_White_Sox_Insignia.svg
17,DET,True,Detroit,Tigers,62,AL,Central,0C2C56,FF6600,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/2/20/Detroit_tigers_textlogo.svg,https://upload.wikimedia.org/wikipedia/commons/9/94/Detroit_Tigers_Insignia.svg
18,NYM,True,New York,Mets,8,NL,East,002D72,FF5910,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/7/7b/New_York_Mets.svg,https://upload.wikimedia.org/wikipedia/en/7/7b/New_York_Mets.svg
19,BAL,True,Baltimore,Orioles,22,AL,East,0,DF4601,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/c/cc/Orioles_new.PNG,https://upload.wikimedia.org/wikipedia/en/c/cd/BaltimoreOriolescap.PNG
20,MIN,True,Minnesota,Twins,14,AL,Central,42462,D31145,CFAB7A,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/6/61/MinnesotaTwins.PNG,https://upload.wikimedia.org/wikipedia/en/2/2f/Minnesota_Twins_Insignia.svg
